game_id,season,week,season_type,playoff_round,date,tip_et,kickoff_utc,start_time_tbd,weekday,home_team,away_team,home_div,away_div,neutral_site,div_game,is_indoor,wind,temp,home_qb,away_qb,h_qb_new,a_qb_new,h_rest,a_rest,rest_diff,a_travel_km,a_tz_shift,total_line,spread_home,provider,over_price,under_price,spread_home_price,spread_away_price,total_book,spread_book,h_games,a_games,exp_total,exp_margin,total_pred,total_raw,total_edge,total_side_val,total_disagree,total_sigma,total_model,total_p_over,margin_pred,margin_raw,margin_edge,margin_side_val,margin_disagree,margin_sigma,margin_model,margin_p_over,total_pick,total_p_win,total_price,total_payout,total_ev,total_stake,spread_side,spread_number,spread_pick,spread_p_win,spread_price,spread_payout,spread_ev,spread_stake,thin_data,p_home_win,p_away_win,kalshi_home_ask,kalshi_away_ask,kalshi_home_ev,kalshi_away_ev,kalshi_side,kalshi_ticker,kalshi_tradeable,ml_pick,ml_ask,ml_p_home,ml_ev,ml_roi,ml_stake,ml_model_cents,ml_ref_ask,ml_ref_prob,ml_ref_ev,ml_ref_side,kt_pick,kt_ticker,ks_pick,ks_ticker,ks_ref_side,kt_ref_tradeable,ks_ref_tradeable,kt_strike,kt_ask,kt_prob,kt_ev,kt_book_gap,kt_rungs,ks_strike,ks_ask,ks_prob,ks_ev,ks_book_gap,ks_rungs,kt_ref_strike,kt_ref_ask,kt_ref_prob,kt_ref_ev,kt_ref_spread_c,ks_ref_strike,ks_ref_ask,ks_ref_prob,ks_ref_ev,ks_ref_spread_c,kalshi_incoherent,kt_pays,kt_fair,kt_edge_pct,ks_pays,ks_fair,ks_edge_pct,ml_pays,ml_fair,ml_edge_pct,total_strength,spread_strength,prediction_date,model_trained_at,first_seen_spread,first_seen_total,first_seen_at,home_points,away_points,total_points,home_margin,total_result,spread_result,total_units,spread_units,total_abs_err,margin_abs_err,close_spread,close_total,total_clv,spread_clv,graded_at
2026_01_NE_SEA,2026,1,REG,0,2026-09-09,"Wed Sep 09, 8:20 PM",2026-09-09T20:20:00-04:00,False,Wednesday,SEA,NE,NFC West,AFC East,False,False,0,,,Sam Darnold,Drake Maye,0.0,0.0,7.0,7.0,0.0,3998.5,-3,44.5,-3.0,nflverse_close,-105.0,-115.0,-118.0,-102.0,DraftKings,DraftKings,0,0,41.90420876465773,6.918266467873351,44.3,42.7,-0.2,-0.1801300048828125,-1.8,13.22,total_market,0.4946,2.7,1.3,-0.3,-0.2590705811977387,-1.7,12.77,margin_market,0.4919,Under,0.5054000000000001,-115.0,0.8695652173913043,-0.055,0.0,NE,3.0,NE +3.0,0.5081,-102.0,0.9803921568627452,0.006,0.0,True,0.5837,0.4163,0.62,0.39,-0.0528,0.0096,NE,KXNFLGAME-26SEP09NESEA-NE,True,,,0.5837,,,,,0.39,0.4163,0.0096,NE,,,,,SEA,True,True,,,,,,0.0,,,,,,0.0,44.5,0.49,0.494,-0.0135,1.0,2.5,0.57,0.5062,-0.0809,1.0,False,1.97,2.024,-2.7,1.703,1.976,-13.8,2.459,2.402,2.4,pass,pass,2026-09-09,2026-09-08T17:48:57,-3.0,44.5,2026-09-09,13.0,10.0,23.0,3.0,win,push,0.0,0.0,21.3,0.2999999999999998,-3.0,44.5,0.0,0.0,2026-09-10
2026_01_SF_LA,2026,1,REG,0,2026-09-10,"Thu Sep 10, 8:35 PM",2026-09-10T20:35:00-04:00,False,Thursday,LA,SF,NFC West,NFC West,True,True,1,,,Matthew Stafford,Brock Purdy,0.0,0.0,7.0,7.0,0.0,12669.8,-6,48.5,-3.5,nflverse_close,-105.0,-115.0,-112.0,-108.0,DraftKings,DraftKings,0,0,53.009628019836896,3.5170170955287654,48.4,47.9,-0.1,-0.0649806976318387,-0.6,13.22,total_market,0.498,3.7,4.5,0.2,0.1528766870498659,1.0,12.77,margin_market,0.5048,Under,0.502,-115.0,0.8695652173913043,-0.061,0.0,LA,-3.5,LA -3.5,0.5048,-112.0,0.8928571428571429,-0.044,0.0,True,0.614,0.386,0.65,0.36,-0.0519,0.0099,SF,KXNFLGAME-26SEP10SFLAR-SF,True,,,0.614,,,,,0.36,0.386,0.0099,SF,,,,,SF,False,True,,,,,,0.0,,,,,,0.0,,,,,,3.5,0.25,0.2864,0.0233,1.0,False,,,,3.8,3.492,8.8,2.659,2.591,2.6,pass,pass,2026-09-10,2026-09-08T17:48:57,-3.5,48.5,2026-09-09,7.0,27.0,34.0,-20.0,win,loss,0.0,-0.0,14.4,23.7,-3.5,47.5,1.0,0.0,2026-09-11
2026_01_ATL_PIT,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,PIT,ATL,AFC North,NFC South,False,False,0,,,Aaron Rodgers,Cooper Rush,0.0,1.0,7.0,7.0,0.0,839.3,0,40.5,-6.5,nflverse_close,-112.0,-108.0,-112.0,-108.0,DraftKings,DraftKings,0,0,42.78345855757496,0.1906351027663624,40.6,41.0,0.1,0.0515972137451186,0.5,13.22,total_market,0.5016,6.4,6.0,-0.1,-0.0687836408615112,-0.5,12.77,margin_market,0.4979,Over,0.5016,-112.0,0.8928571428571429,-0.051,0.0,ATL,6.5,ATL +6.5,0.5021,-108.0,0.925925925925926,-0.033,0.0,True,0.6919,0.3081,0.73,0.28,-0.0519,0.014,ATL,KXNFLGAME-26SEP13ATLPIT-ATL,True,,,0.6919,,,,,0.28,0.3081,0.014,ATL,,,,,PIT,True,True,,,,,,0.0,,,,,,0.0,40.5,0.51,0.503,-0.0245,1.0,6.5,0.5,0.4969,-0.0206,1.0,False,1.896,1.988,-4.6,1.932,2.012,-4.0,3.4,3.246,4.8,pass,pass,2026-09-13,2026-09-08T17:48:57,-3.5,42.5,2026-09-09,20.0,13.0,33.0,7.0,loss,loss,-0.0,-0.0,7.600000000000001,0.5999999999999996,-6.5,40.5,-2.0,3.0,2026-09-14
2026_01_BAL_IND,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,IND,BAL,AFC South,AFC North,False,False,0,,,Daniel Jones,Lamar Jackson,1.0,0.0,7.0,7.0,0.0,819.8,0,48.5,3.0,nflverse_close,-102.0,-118.0,-110.0,-110.0,DraftKings,DraftKings,0,0,49.78176594437362,-0.8608135913459243,48.4,47.1,-0.1,-0.144033813476561,-1.4,13.22,total_market,0.4957,-3.2,-4.6,-0.2,-0.247081732749939,-1.6,12.77,margin_market,0.4923,Under,0.5043,-118.0,0.847457627118644,-0.068,0.0,BAL,-3.0,BAL -3.0,0.5077,-110.0,0.9090909090909092,-0.031,0.0,True,0.4011,0.5989,0.42,0.6,-0.036,-0.0179,BAL,KXNFLGAME-26SEP13BALIND-BAL,True,,,0.4011,,,,,0.6,0.5989,-0.0179,BAL,,,,,IND,True,True,,,,,,0.0,,,,,,0.0,48.5,0.49,0.497,-0.0105,1.0,2.5,0.36,0.3277,-0.0485,2.0,False,1.97,2.012,-2.1,2.659,3.052,-12.9,1.621,1.67,-2.9,pass,pass,2026-09-13,2026-09-08T17:48:57,3.5,47.5,2026-09-09,23.0,41.0,64.0,-18.0,loss,win,-0.0,0.0,15.6,14.8,3.0,48.5,-1.0,0.5,2026-09-14
2026_01_BUF_HOU,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,HOU,BUF,AFC South,AFC East,False,False,0,,,C.J. Stroud,Josh Allen,0.0,0.0,7.0,7.0,0.0,2076.3,-1,44.5,1.5,nflverse_close,-110.0,-110.0,-115.0,-105.0,DraftKings,DraftKings,0,0,47.24991416571865,2.167414809598255,44.2,41.7,-0.3,-0.2836612701416001,-2.8,13.22,total_market,0.4914,-1.0,1.8,0.5,0.5002359867095947,3.3,12.77,margin_market,0.5156,Under,0.5085999999999999,-110.0,0.9090909090909092,-0.029,0.0,HOU,1.5,HOU +1.5,0.5156,-115.0,0.8695652173913043,-0.036,0.0,True,0.4688,0.5312,0.5,0.52,-0.0487,-0.0063,BUF,KXNFLGAME-26SEP13BUFHOU-BUF,True,,,0.4688,,,,,0.52,0.5312,-0.0063,BUF,,,,,HOU,True,True,,,,,,0.0,,,,,,0.0,44.5,0.5,0.4909,-0.0266,2.0,1.5,0.48,0.4224,-0.0751,2.0,False,1.932,2.037,-5.1,2.01,2.367,-15.1,1.861,1.883,-1.2,pass,pass,2026-09-13,2026-09-08T17:48:57,1.5,44.5,2026-09-09,31.0,36.0,67.0,-5.0,loss,loss,-0.0,-0.0,22.8,4.0,1.5,44.5,0.0,0.0,2026-09-14
2026_01_CHI_CAR,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,CAR,CHI,NFC South,NFC North,False,False,0,,,Bryce Young,Caleb Williams,0.0,0.0,7.0,7.0,0.0,943.0,1,47.5,3.0,nflverse_close,-105.0,-115.0,-108.0,-112.0,DraftKings,DraftKings,0,0,43.15713641159189,-1.43111389237759,47.4,46.9,-0.1,-0.0579345703124971,-0.6,13.22,total_market,0.4983,-2.5,0.0,0.5,0.4529977393336595,3.0,12.77,margin_market,0.5141,Under,0.5017,-115.0,0.8695652173913043,-0.062,0.0,CAR,3.0,CAR +3.0,0.5141,-108.0,0.925925925925926,-0.01,0.0,True,0.4224,0.5776,0.41,0.6,-0.0045,-0.0392,CAR,KXNFLGAME-26SEP13CHICAR-CAR,True,,,0.4224,,,,,0.41,0.4224,-0.0045,CAR,,,,,CHI,True,True,,,,,,0.0,,,,,,0.0,47.5,0.48,0.497,-0.0005,1.0,2.5,0.55,0.5,-0.0673,1.0,False,2.01,2.012,-0.1,1.763,2.0,-11.9,2.342,2.367,-1.1,pass,pass,2026-09-13,2026-09-08T17:48:57,3.0,46.5,2026-09-09,37.0,59.0,96.0,-22.0,loss,loss,-0.0,-0.0,48.6,19.5,3.0,47.5,-1.0,0.0,2026-09-14
2026_01_CLE_JAX,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,JAX,CLE,AFC South,AFC North,False,False,0,,,Trevor Lawrence,Deshaun Watson,0.0,1.0,7.0,7.0,0.0,1243.4,0,40.5,-8.5,nflverse_close,-102.0,-118.0,-115.0,-105.0,DraftKings,DraftKings,0,0,41.19034968805222,9.326313643520878,41.0,45.9,0.5,0.5369522094726591,5.4,13.22,total_market,0.5162,8.6,8.8,0.1,0.0511453628540046,0.3,12.77,margin_market,0.5016,Over,0.5162,-102.0,0.9803921568627452,0.022,0.0,JAX,-8.5,JAX -8.5,0.5016,-115.0,0.8695652173913043,-0.062,0.0,True,0.7497,0.2503,0.81,0.2,-0.0711,0.0391,CLE,KXNFLGAME-26SEP13CLEJAC-CLE,True,,,0.7497,,,,,0.2,0.2503,0.0391,CLE,,,,,JAX,True,True,,,,,,0.0,,,,,,0.0,40.5,0.49,0.5151,0.0076,1.0,7.5,0.54,0.5343,-0.0231,2.0,False,1.97,1.941,1.5,1.794,1.872,-4.1,4.735,3.995,18.5,pass,pass,2026-09-13,2026-09-08T17:48:57,-8.5,40.5,2026-09-09,34.0,10.0,44.0,24.0,win,win,0.0,0.0,3.0,15.4,-8.5,40.5,0.0,0.0,2026-09-14
2026_01_NO_DET,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,DET,NO,NFC North,NFC South,False,False,1,,,Jared Goff,Tyler Shough,0.0,0.0,7.0,7.0,0.0,1514.1,1,49.5,-7.0,nflverse_close,-115.0,-105.0,-110.0,-110.0,DraftKings,DraftKings,0,0,45.36979729589413,3.32253568992468,49.3,47.1,-0.2,-0.2441184997558565,-2.4,13.22,total_market,0.4926,6.9,6.1,-0.1,-0.1371444225311275,-0.9,12.77,margin_market,0.4957,Under,0.5074000000000001,-105.0,0.9523809523809524,-0.009,0.0,NO,7.0,NO +7.0,0.5043,-110.0,0.9090909090909092,-0.037,0.0,True,0.7055,0.2945,0.75,0.26,-0.0576,0.021,NO,KXNFLGAME-26SEP13NODET-NO,True,,,0.7055,,,,,0.26,0.2945,0.021,NO,,,,,NO,True,True,,,,,,0.0,,,,,,0.0,49.5,0.52,0.494,-0.0435,1.0,7.5,0.11,0.1297,0.0129,3.0,False,1.861,2.024,-8.1,8.558,7.71,11.0,3.657,3.396,7.7,pass,pass,2026-09-13,2026-09-08T17:48:57,-7.0,49.5,2026-09-09,31.0,30.0,61.0,1.0,loss,win,-0.0,0.0,11.700000000000005,5.9,-7.0,49.5,0.0,0.0,2026-09-14
2026_01_NYJ_TEN,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,TEN,NYJ,AFC South,AFC East,False,False,0,,,Cam Ward,Geno Smith,0.0,1.0,7.0,7.0,0.0,1218.3,-1,39.5,-1.5,nflverse_close,-110.0,-110.0,-105.0,-115.0,DraftKings,DraftKings,0,0,47.236404812882455,7.20015183042814,39.8,42.1,0.3,0.2627357482910142,2.6,13.22,total_market,0.5079,0.7,-3.5,-0.8,-0.7527134299278259,-5.0,12.77,margin_market,0.4765,Over,0.5079,-110.0,0.9090909090909092,-0.03,0.0,NYJ,1.5,NYJ +1.5,0.5235000000000001,-115.0,0.8695652173913043,-0.021,0.0,True,0.5219,0.4781,0.52,0.49,-0.0156,-0.0294,TEN,KXNFLGAME-26SEP13NYJTEN-TEN,True,,,0.5219,,,,,0.52,0.5219,-0.0156,TEN,,,,,TEN,False,True,,,,,,0.0,,,,,,0.0,,,,,,1.5,0.48,0.475,-0.0224,1.0,False,,,,2.01,2.105,-4.5,1.861,1.916,-2.9,pass,thin,2026-09-13,2026-09-08T17:48:57,-1.5,38.5,2026-09-09,10.0,23.0,33.0,-13.0,loss,win,-0.0,0.0,6.799999999999997,13.7,-1.5,39.5,1.0,0.0,2026-09-14
2026_01_TB_CIN,2026,1,REG,0,2026-09-13,"Sun Sep 13, 1:00 PM",2026-09-13T13:00:00-04:00,False,Sunday,CIN,TB,AFC North,NFC South,False,False,0,,,Joe Burrow,Baker Mayfield,0.0,0.0,7.0,7.0,0.0,1250.3,0,50.5,-3.5,nflverse_close,-108.0,-112.0,-118.0,-102.0,DraftKings,DraftKings,0,0,48.721586681054646,4.226384439215478,50.6,51.9,0.1,0.1423202514648451,1.4,13.22,total_market,0.5043,3.7,4.5,0.2,0.1518177509307863,1.0,12.77,margin_market,0.5047,Over,0.5043,-108.0,0.925925925925926,-0.029,0.0,CIN,-3.5,CIN -3.5,0.5047,-118.0,0.847457627118644,-0.068,0.0,True,0.614,0.386,0.65,0.36,-0.0519,0.0099,TB,KXNFLGAME-26SEP13TBCIN-TB,True,,,0.614,,,,,0.36,0.386,0.0099,TB,,,,,TB,True,True,,,,,,0.0,,,,,,0.0,50.5,0.49,0.503,-0.0045,1.0,3.5,0.25,0.2864,0.0233,1.0,False,1.97,1.988,-0.9,3.8,3.492,8.8,2.659,2.591,2.6,pass,pass,2026-09-13,2026-09-08T17:48:57,-3.5,50.5,2026-09-09,33.0,27.0,60.0,6.0,win,win,0.0,0.0,9.4,2.3,-3.5,50.5,0.0,0.0,2026-09-14
